time,open,high,low,close,volume
2006/05/10 00:00:00:000000,31.7,32.1,31.7,32.0,25046000.0
2006/05/11 00:00:00:000000,31.7,32.3,31.7,32.25,35294000.0
2006/05/12 00:00:00:000000,32.25,32.3,31.9,32.25,23679000.0
2006/05/15 00:00:00:000000,32.0,32.05,31.45,31.45,44805000.0
2006/05/16 00:00:00:000000,31.4,31.4,30.5,30.6,55376000.0
2006/05/17 00:00:00:000000,30.6,31.2,30.55,31.1,32313000.0
2006/05/18 00:00:00:000000,30.3,30.65,30.0,30.3,53637000.0
2006/05/19 00:00:00:000000,30.3,31.2,30.3,30.6,24804000.0
2006/05/22 00:00:00:000000,31.15,31.15,30.8,30.85,31347000.0
2006/05/23 00:00:00:000000,30.7,31.0,30.4,30.5,31398000.0
2006/05/24 00:00:00:000000,30.85,32.0,30.8,31.65,62493000.0
2006/05/25 00:00:00:000000,32.0,32.0,31.0,31.5,71451000.0
2006/05/26 00:00:00:000000,31.7,31.8,31.4,31.6,38729000.0
2006/05/29 00:00:00:000000,31.6,31.75,31.2,31.2,16560000.0
2006/05/30 00:00:00:000000,31.2,31.3,30.5,30.5,23123000.0
2006/06/01 00:00:00:000000,30.8,30.9,30.6,30.8,22631000.0
2006/06/02 00:00:00:000000,31.0,31.05,30.6,30.9,20542000.0
2006/06/05 00:00:00:000000,30.9,31.0,30.3,30.35,25994000.0
2006/06/06 00:00:00:000000,30.3,30.75,30.15,30.6,29083000.0
2006/06/07 00:00:00:000000,30.6,30.6,30.3,30.5,11919000.0
2006/06/08 00:00:00:000000,30.4,30.45,29.9,30.0,41094000.0
2006/06/09 00:00:00:000000,30.0,30.4,29.9,30.15,31823000.0
2006/06/12 00:00:00:000000,30.15,30.4,29.9,30.4,14622000.0
2006/06/13 00:00:00:000000,30.3,30.3,30.0,30.0,29825000.0
2006/06/14 00:00:00:000000,30.0,30.1,29.8,29.95,38324000.0
2006/06/15 00:00:00:000000,30.05,30.15,29.95,30.0,19237000.0
2006/06/16 00:00:00:000000,30.5,30.7,30.2,30.7,35514000.0
2006/06/19 00:00:00:000000,30.7,31.0,30.5,31.0,14024000.0
2006/06/20 00:00:00:000000,31.0,31.1,30.5,30.6,20526000.0
2006/06/21 00:00:00:000000,30.95,31.0,30.7,31.0,20499000.0
2006/06/22 00:00:00:000000,31.2,31.5,31.1,31.35,23963000.0
2006/06/23 00:00:00:000000,31.2,31.4,30.9,31.15,15487000.0
2006/06/26 00:00:00:000000,31.2,31.75,31.15,31.5,22237000.0
2006/06/27 00:00:00:000000,31.8,31.8,31.4,31.7,19214000.0
2006/06/28 00:00:00:000000,31.7,31.9,31.7,31.9,20939000.0
2006/06/29 00:00:00:000000,32.0,32.1,31.9,32.1,33287000.0
2006/06/30 00:00:00:000000,32.2,32.4,31.9,32.1,27968000.0
2006/07/03 00:00:00:000000,32.1,32.3,32.1,32.2,18409000.0
2006/07/04 00:00:00:000000,32.25,32.5,32.2,32.2,19664000.0
2006/07/05 00:00:00:000000,32.2,32.3,32.0,32.2,15201000.0
2006/07/06 00:00:00:000000,32.1,32.15,31.9,32.05,14231000.0
2006/07/07 00:00:00:000000,32.0,32.2,31.9,32.1,9658000.0
2006/07/10 00:00:00:000000,32.1,32.5,31.9,32.45,21621000.0
2006/07/11 00:00:00:000000,32.45,32.55,32.3,32.3,15184000.0
2006/07/12 00:00:00:000000,32.15,32.3,31.5,31.7,38052000.0
2006/07/13 00:00:00:000000,31.5,31.5,31.0,31.05,35745000.0
2006/07/14 00:00:00:000000,30.5,30.65,29.9,30.35,99273000.0
2006/07/17 00:00:00:000000,30.2,30.35,30.0,30.2,30094000.0
2006/07/18 00:00:00:000000,30.1,30.6,29.95,30.5,49063000.0
2006/07/19 00:00:00:000000,30.65,30.65,30.2,30.2,29018000.0
2006/07/20 00:00:00:000000,30.65,30.65,30.5,30.6,34887000.0
2006/07/21 00:00:00:000000,30.6,30.75,30.5,30.5,32901000.0
2006/07/24 00:00:00:000000,30.5,30.85,30.5,30.8,76212000.0
2006/07/25 00:00:00:000000,31.0,31.25,30.95,31.1,92484000.0
2006/07/26 00:00:00:000000,26.2,27.0,26.2,26.35,192881000.0
2006/07/27 00:00:00:000000,26.35,26.45,26.1,26.3,52056000.0
2006/07/28 00:00:00:000000,26.3,26.45,26.25,26.3,51309000.0
2006/07/31 00:00:00:000000,26.35,26.4,26.2,26.3,41193000.0
2006/08/01 00:00:00:000000,26.3,26.35,26.1,26.1,22201000.0
2006/08/02 00:00:00:000000,26.1,26.1,26.0,26.0,31984000.0
2006/08/03 00:00:00:000000,26.0,26.3,26.0,26.15,39312000.0
2006/08/04 00:00:00:000000,26.25,26.35,26.05,26.15,24222000.0
2006/08/07 00:00:00:000000,26.15,26.25,26.05,26.05,14487000.0
2006/08/08 00:00:00:000000,26.05,26.3,26.05,26.25,17109000.0
2006/08/09 00:00:00:000000,26.25,26.45,26.2,26.35,23119000.0
2006/08/10 00:00:00:000000,26.45,26.55,26.3,26.3,23882000.0
2006/08/11 00:00:00:000000,26.3,26.35,26.0,26.0,31984000.0
2006/08/14 00:00:00:000000,26.0,26.25,26.0,26.1,34679000.0
2006/08/15 00:00:00:000000,26.2,26.4,26.1,26.1,16043000.0
2006/08/16 00:00:00:000000,26.35,26.45,26.1,26.4,32417000.0
2006/08/17 00:00:00:000000,26.4,26.55,26.15,26.2,18052000.0
2006/08/18 00:00:00:000000,26.3,26.5,26.3,26.45,24772000.0
2006/08/21 00:00:00:000000,26.5,26.55,26.1,26.1,26995000.0
2006/08/22 00:00:00:000000,26.1,26.4,26.1,26.2,17512000.0
2006/08/23 00:00:00:000000,26.25,26.4,26.05,26.25,24587000.0
2006/08/24 00:00:00:000000,26.3,26.4,26.2,26.4,11258000.0
2006/08/25 00:00:00:000000,26.6,26.85,26.55,26.65,38188000.0
2006/08/28 00:00:00:000000,26.8,26.9,26.65,26.75,24871000.0
2006/08/29 00:00:00:000000,26.8,27.2,26.8,27.05,26546000.0
2006/08/30 00:00:00:000000,27.05,27.3,26.85,27.2,31766000.0
2006/08/31 00:00:00:000000,27.3,27.35,26.6,26.7,25845000.0
2006/09/01 00:00:00:000000,26.75,26.9,26.7,26.8,13800000.0
2006/09/04 00:00:00:000000,26.95,27.1,26.9,27.0,14737000.0
2006/09/05 00:00:00:000000,27.2,27.25,27.1,27.15,19697000.0
2006/09/06 00:00:00:000000,27.2,27.75,27.15,27.55,46125000.0
2006/09/07 00:00:00:000000,27.3,27.7,27.25,27.7,24990000.0
